title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3,passed
18 Presents,2020,10816484,9136,3,6.9,4276,115.0,Drama,Family,Fantasy,1
A Quiet Place Part II,2020,8332922,9918,3,7.2,274635,97.0,Drama,Horror,Sci-Fi,1
ADN,2020,7600716,10933,3,5.9,1372,90.0,Drama,,,1
After Love,2020,10692788,10455,3,7.3,4329,89.0,Drama,,,1
All the Bright Places,2020,3907584,9036,3,6.6,38644,107.0,Drama,Romance,,1
Ammonite,2020,7983894,9490,3,6.5,23507,117.0,Drama,History,Romance,1
An American Pickle,2020,9059704,10028,1,5.7,26696,88.0,Comedy,Fantasy,,0
Antebellum,2020,10065694,10215,3,5.8,29891,105.0,Drama,Horror,Mystery,1
Artemis Fowl,2020,3089630,9208,3,4.3,30458,95.0,Adventure,Family,Fantasy,1
Ava,2020,8784956,10269,2,5.5,63112,96.0,Action,Drama,Thriller,0
Bad Boys For Life,2020,1502397,9071,2,6.5,175980,124.0,Action,Comedy,Crime,0
Bad Hair,2020,4798836,9317,3,5.6,4339,102.0,Comedy,Horror,Music,1
"Banker, The",2020,6285944,10642,1,7.3,35994,120.0,Biography,Drama,,0
Bill &amp; Ted Face the Music,2020,1086064,9255,3,5.9,53181,91.0,Adventure,Comedy,Music,1
Birds of Prey,2020,7713068,9008,3,6.1,265531,109.0,Action,Comedy,Crime,1
Blow the Man Down,2020,8299768,9079,3,6.4,12240,91.0,Comedy,Crime,Drama,1
Borat Subsequent Moviefilm,2020,13143964,9413,3,6.6,154189,95.0,Comedy,,,1
Boss Level,2020,7638348,10407,2,6.8,79580,100.0,Action,Adventure,Comedy,0
Breach,2020,9820556,9470,1,2.9,20012,92.0,Action,Horror,Sci-Fi,0
Cadaver,2020,11284280,9458,3,5.2,12393,86.0,Drama,Horror,Thriller,1
"Call, The",2020,10530176,9362,3,7.1,43942,112.0,Crime,Mystery,Sci-Fi,1
"Courier, The",2020,8368512,9606,3,7.2,74026,112.0,Drama,History,Mystery,1
"Craft: Legacy, The",2020,4685762,10072,3,4.6,16636,97.0,Drama,Fantasy,Horror,1
